Sampled Lineages $(n)$,Population Recombination Rate $(\rho)$,$i$th Tree,msprime Standard Coalescent,msprime's SMC,msprime's SMC',Dave's SMC,Dave's SMC'
2,1,1,21.88032072968236,28.145520374943064,10.44132871982292,99.86474181568043,27.172717329712153
2,1,2,34.0457734780249,51.393468680602076,30.1911489366078,40.39922168826821,63.113436577554104
2,1,3,63.804785854265674,52.227501572028736,109.5845765137106,76.6357601832622,104.75086841787487
2,1,4,130.0089926974931,196.99442172213105,65.5790575251205,133.54564388339077,412.1065483625662
2,1,5,32.43480786365548,218.40699261332676,75.34735245785994,430.3993510644798,189.1623507947474
2,1,6,,179.23024502394503,36.92167940006454,120.7076051860553,249.49722037572326
2,1,7,75.72502002416708,156.0250188789805,5278.924313575944,128.6135447767339,238.27396760625234
2,1,8,,449.128581449555,,89.64982493600478,244.6062117429433
2,1,9,,207.3578776670867,,94.9107158704262,
2,1,10,,,,,
2,1,last tree,45.46615336841327,20.969576574976756,17.65013851279589,31.91565326095578,20.780562097216222
2,100,1,1938.4173389956006,5067.613115173953,1057.1867720290363,1244.6346325331206,3088.906140394263
2,100,2,2307.85148495384,3051.767072505348,2030.0851079526396,31355.646322179018,3866.229785399535
2,100,3,4770.857680060815,5595.223293390402,3754.908143359215,5732.260435271417,4010.2861998302315
2,100,4,3636.8020476076344,7209.806009777084,2300.9610907210435,7816.885148386684,23436.045890336114
2,100,5,3114.84899257622,10249.496881398798,3330.299252055801,9918.80771029194,469841.14219139604
2,100,6,3942.377972286215,5904.04548324368,4565.104358055338,9997.526731449878,7883.795058601145
2,100,7,4006.909519304574,21737.500442982884,11654.518696398503,68482.07144821472,5881.019475185524
2,100,8,3161.0027315206457,5134.414546305653,4953.031602359796,10021.752344099159,7381.079315306697
2,100,9,9508.674602784251,6411.5771108926865,3633.4685591864923,14001.579842446099,6544.459381867438
2,100,10,8550.22272588123,17816.13945421215,4414.678345649054,13685.952282438737,6434.522034991974
2,100,last tree,2536.4058121722223,2833.310293516006,1767.7267801858918,1670.0290213845772,2345.9965663836997
