Sampled Lineages $(n)$,Population Recombination Rate $(\rho)$,$i$th Tree,msprime Standard Coalescent,msprime's SMC,msprime's SMC',Dave's SMC,Dave's SMC'
2,1,1,2.0308248435871206,1.9370055873083614,1.960594750521336,1.9658713023694914,2.072242618123145
2,1,2,3.2844027120066905,3.4137058415923223,3.205331005440968,3.3677385999792113,3.1939153199115458
2,1,3,4.139063587333196,4.051709982883423,3.7418917285538527,4.108038083982314,3.847460243229168
2,1,4,4.121546110413614,4.774093629427621,4.101283002738681,4.310595328531393,4.194721424063936
2,1,5,5.633816972412278,4.5040966518118175,4.458771634525342,4.34340019459811,4.588188132481421
2,1,6,7.433922163192133,5.7989509912817665,4.770543840908674,4.812688038455324,5.058095296638674
2,1,7,,7.517560623489532,6.071409693724803,4.646690092498301,5.562346258986369
2,1,8,,2.1443956538869795,,4.75142730232658,5.539400756756982
2,1,9,,2.9777583448559417,1.0564498523542192,5.0089737143586275,5.8694562759677975
2,1,10,,8.796805364276361,,5.137813096019656,6.6833488704851876
2,1,last tree,1.897251205854907,2.0438048840878915,2.01718919842115,1.9071208912384552,2.044104837052293
2,100,1,1.9398774436141946,2.057615196196642,2.104255040565112,2.0880840828708194,1.9853285930151379
2,100,2,2.928747532960892,3.010052027248165,3.026240591461297,2.9427831536516846,2.7923851940506963
2,100,3,3.1685152125454286,3.50122377678325,3.313496065690673,3.5217308314741675,3.3897726506557198
2,100,4,3.435334975579641,3.6853276682622966,3.45199766338788,3.6702029418203717,3.511893395738587
2,100,5,3.4154110906192265,3.7876722162696113,3.510721410366572,3.9292771329325573,3.7434860777236625
2,100,6,3.489477760224337,4.038357968875552,3.603473960708614,3.9266298353163007,3.7178874018659522
2,100,7,3.476430613064214,3.838724095982094,3.716541873263612,3.964087620147347,3.842315420728013
2,100,8,3.5808962662346087,4.095265779077133,3.782342354540226,3.9002574736617976,3.9271082437369884
2,100,9,3.6378793372477936,3.8602844728644596,3.7123952736115466,3.8087767860814283,3.931203713899215
2,100,10,3.6028005999861024,4.091355845450143,3.5705126426923632,3.9560595364709896,4.109083984570518
2,100,last tree,1.9363333185111657,1.982554417449523,2.0363046610118247,2.0198826767293836,1.9564327059597746
