Sampled Lineages $(n)$,Population Recombination Rate $(\rho)$,$i$th Tree,msprime Standard Coalescent,msprime's SMC,msprime's SMC',Dave's SMC,Dave's SMC'
2,1,1,1.950295252110874,2.0129730105417525,1.9313052705281115,1.974963250039917,1.9503515739400037
2,1,2,3.510007045693069,3.3057291895360432,3.151048468799507,1.0497520259786453,1.1742544583844436
2,1,3,4.35292817504387,4.289646133261569,3.768193079207001,0.847213617420757,1.0856182690088754
2,1,4,4.249655540691448,4.73526390209294,4.228943511289182,0.8011008764495305,1.030319558819577
2,1,5,2.977198342769139,4.462544054006105,3.626482852894032,0.6456933965628863,1.2241164139920293
2,1,6,4.532594737212319,5.459215339396026,5.872171632091019,0.7682433726212194,1.0355325465762433
2,1,7,3.987869640492394,4.702234051738308,,0.9283633825574514,0.9536690597139588
2,1,8,,3.859311684410412,,0.9915052801674534,
2,1,9,,1.0643918945394857,,0.0696269845239729,
2,1,10,,,,0.2218494133178633,
2,1,last tree,1.9834224864471752,2.0857958322634853,2.0533077137473428,2.0604930832675077,2.2182580683531645
2,100,1,1.9239369044298205,1.9653744729814537,2.0141234253199696,2.0485088213091687,2.052819911514827
2,100,2,2.9171598760704716,3.0616668425515416,2.919336828584026,0.438331428715102,0.554491280396684
2,100,3,3.2055741392686046,3.4403606932026567,3.370595135718544,0.25534191062607103,0.8757304255025018
2,100,4,3.3952381109782572,3.793015381255536,3.5756425269608365,,
2,100,5,3.4795437905659505,3.8581144644825693,3.583964206295506,,
2,100,6,3.504488920486839,3.741800054860135,3.623554745808701,,
2,100,7,3.6251452822648784,3.8936256706862977,3.5517971921933955,,
2,100,8,3.652540026941014,3.9500499943898144,3.8272881082096655,,
2,100,9,3.7135742634164957,4.08887832032221,3.7390765380924584,,
2,100,10,3.79261773580412,3.980773842913281,3.687580741390546,,
2,100,last tree,1.9740387901348626,2.011868103682865,1.9892501183981377,2.094186493306708,2.022833666168856
20,1,1,3.927373650551304,3.77474662037881,3.9200097605472912,3.802224746668063,3.6554939792694547
20,1,2,3.9737705410087716,3.951501551611135,3.869922402344052,3.203471982884121,3.379609706409555
20,1,3,4.288812002492101,4.129948656390629,4.271419376230396,2.747853350974592,3.560281214535535
20,1,4,4.5774471559608045,4.371922575818629,4.369249492392749,1.450563431550795,2.35539772719199
20,1,5,4.469869513477343,4.812098568948312,4.463507057444143,,
20,1,6,4.933410261949211,5.0865740640222405,4.894969349828516,,
20,1,7,5.622738876515808,5.273960904590885,5.023700556965337,,
20,1,8,5.394897715177002,5.061623509366066,5.270940784164773,,
20,1,9,5.709632575920979,5.749245551329266,6.373984730391181,,
20,1,10,5.751581572305309,6.427614399955117,8.150168868021584,,
20,1,last tree,3.850633991656494,3.7825511955811053,3.751170517647698,3.7438831737340315,3.933486110031744
20,100,1,3.780381847765601,3.803744699403905,3.912050859861757,3.747401098710062,3.764906241451616
20,100,2,3.9437652849061506,3.8810034209729056,3.9323302546405,4.202695506655743,3.381045528244314
20,100,3,3.954942656939247,4.03613756763488,3.910648000723802,,
20,100,4,4.144462563521353,4.145622971324571,4.1413929031149985,,
20,100,5,4.0246698339639,4.1875875851570985,4.11960876035271,,
20,100,6,4.23821727937109,4.35094524081061,4.208126029760073,,
20,100,7,4.058759976248472,4.284627749452571,4.1704546913868725,,
20,100,8,4.263287150363036,4.350349765723633,4.17512447459237,,
20,100,9,4.163653191373041,4.481394651470325,4.2933663107385165,,
20,100,10,4.169079991249762,4.378628673820648,4.201762214305093,,
20,100,last tree,3.856547130235482,3.733871431512549,3.8351318162488828,3.867803502684924,3.8155091479036263
