Sampled Lineages $(n)$,Population Recombination Rate $(\rho)$,$i$th Tree,msprime Standard Coalescent,msprime's SMC,msprime's SMC',Dave's SMC,Dave's SMC'
2,1,1,0.7617784100049741,0.670321149835595,0.7578390497970463,0.7053892944244375,0.698323697052596
2,1,2,0.41665304545196324,0.3659915728646015,0.4262494054596897,0.3909803309648607,0.3847846857293779
2,1,3,0.3269509580709021,0.27615469075031784,0.289871515149484,0.2572273373729448,0.2699218513382669
2,1,4,0.24585706274318164,0.21564954665952585,0.2550459488023596,0.2279659658261097,0.2004381253550518
2,1,5,0.28573219398441274,0.22319616376272772,0.17083934961774408,0.18813496812788075,0.19153055988233486
2,1,6,,0.13004018103556975,0.17209682757891756,0.13756598822410784,0.13451009277505432
2,1,7,0.05359778832644224,0.13936364062830348,0.0007753771732031955,0.1278507775063026,0.16155094126578617
2,1,8,,0.23707739827751653,,0.11878379913735031,0.10475547073787916
2,1,9,,0.051165435301832596,,0.04810220128218209,
2,1,10,,,,,
2,1,last tree,0.7503618527472186,0.6859081609202298,0.7482515219283798,0.6921783511528954,0.7160223594433275
2,100,1,0.05366551130924731,0.0445273397858688,0.05618683346460716,0.05286963021536971,0.04713200818767665
2,100,2,0.018195861603630726,0.01592817803986561,0.019963597266398247,0.015129439600158731,0.017556185779263656
2,100,3,0.01631182109778789,0.010675224471367083,0.015542849320857446,0.011851547528524813,0.013742474506633415
2,100,4,0.01614811791053511,0.011799907114576043,0.017781023568712386,0.01081850819280538,0.011539392947064792
2,100,5,0.01665750782701648,0.009932154596894302,0.0159163786664954,0.009125099316355686,0.008770591473066589
2,100,6,0.01587326250765084,0.00986381085187977,0.01525154438963461,0.010314909328628018,0.008969664792971458
2,100,7,0.014579317113790697,0.010940690181612608,0.013507966647401143,0.010272208401169589,0.010121266790637972
2,100,8,0.016334916321950416,0.008775852802815485,0.01490784994429137,0.009347128623899248,0.009633552020959823
2,100,9,0.015330628245097068,0.009679183591600575,0.013270194309094718,0.01044659042696334,0.010089781340049406
2,100,10,0.014904521001185342,0.010287006756935405,0.014804384831589454,0.009443971330794929,0.011514988136162639
2,100,last tree,0.045249359939095624,0.04166873677040728,0.057237624342949066,0.04727256919140577,0.0448563089675478
